ID,Year_Birth,Education,Marital_Status, Income ,Cant_Trx_Movil,Cant_Trx_Card
5585,1972,Graduation,Single,"$21,359.00 ",12,2
7030,1955,PhD,Married,"$66,465.00 ",1200,0
1524,1983,2n Cycle,Single,"$81,698.00 ",709,45
3657,1986,Graduation,Single,"$39,146.00 ",94,1
5740,1970,2n Cycle,Divorced,"$25,959.00 ",4,2
9595,1961,Graduation,Together,"$64,260.00 ",539,169
3158,1973,Graduation,Married,"$32,300.00 ",13,3
5114,1965,Master,Married,"$74,806.00 ",670,9
340,1970,Graduation,Divorced,"$72,967.00 ",158,35
8805,1960,Graduation,Single,"$48,904.00 ",283,10
1241,1984,2n Cycle,Married,"$14,796.00 ",13,3
1402,1954,Master,Married,"$66,991.00 ",496,36
7264,1978,2n Cycle,Single,"$52,195.00 ",12,0
1619,1956,Graduation,Married,"$90,369.00 ",292,51
6398,1974,Basic,Married,"$18,393.00 ",7,10
1857,1952,Graduation,Single,"$47,139.00 ",46,0
4877,1973,Master,Married,"$38,576.00 ",34,0
3066,1975,PhD,Together,"$61,905.00 ",167,0
10286,1962,Graduation,Married,"$83,715.00 ",318,8
1992,1964,Graduation,Married,"$60,597.00 ",522,0
4246,1982,Master,Single,"$6,560.00 ",67,11
10623,1961,Master,Together,"$48,330.00 ",28,0
4867,1968,PhD,Single,"$38,236.00 ",58,0
3112,1977,Master,Married,"$22,701.00 ",2,4
4865,1974,Master,Divorced,"$53,367.00 ",229,7
6287,1986,Graduation,Together,"$34,728.00 ",14,0
4405,1956,Master,Married,"$63,915.00 ",622,7
5332,1960,2n Cycle,Married,"$82,504.00 ",362,50
1519,1972,PhD,Single,"$38,578.00 ",38,4
9080,1972,PhD,Single,"$38,578.00 ",38,4
1772,1975,PhD,Married,"$79,174.00 ",1074,37
5341,1962,2n Cycle,Divorced,"$81,975.00 ",983,76
5510,1977,Master,Married,"$43,263.00 ",262,6
3887,1970,Graduation,Single,"$27,242.00 ",3,17
7022,1971,Graduation,Married,"$76,445.00 ",739,107
9999,1965,Graduation,Together,"$75,276.00 ",610,105
10352,1963,Graduation,Widow,"$34,213.00 ",50,4
7919,1976,PhD,Together,"$72,335.00 ",1285,105
4114,1964,Master,Married,"$79,143.00 ",650,37
7990,1947,Graduation,Married,"$27,469.00 ",9,1
9888,1969,Graduation,Together,"$68,695.00 ",458,81
4399,1969,Graduation,Together,"$68,695.00 ",458,81
4452,1957,Graduation,Single,"$50,388.00 ",292,6
4785,1970,PhD,Together,"$77,622.00 ",520,7
8461,1962,Graduation,Divorced,"$46,102.00 ",14,0
3878,1980,2n Cycle,Single,"$31,859.00 ",3,4
9612,1987,2n Cycle,Single,"$23,830.00 ",1,8
4098,1973,Graduation,Married,"$24,639.00 ",20,3
158,1945,PhD,Together,"$71,604.00 ",345,53
3896,1984,Graduation,Married,"$27,255.00 ",22,1
9970,1977,Graduation,Together,"$55,375.00 ",42,11
4002,1960,PhD,Married,"$77,037.00 ",463,96
10914,1970,Graduation,Single,"$24,163.00 ",4,1
7279,1969,PhD,Together,"$69,476.00 ",260,86
10582,1979,Graduation,Married,"$72,063.00 ",180,32
4470,1962,Master,Married,"$58,646.00 ",62,1
6183,1962,Master,Married,"$58,646.00 ",62,1
6379,1949,Master,Widow,"$47,570.00 ",67,1
8601,1980,Graduation,Married,"$80,011.00 ",421,76
4827,1956,PhD,Single,"$54,998.00 ",154,22
6715,1948,PhD,Single,"$60,200.00 ",502,19
10676,1982,Graduation,Married,"$63,211.00 ",145,193
1041,1973,PhD,Single,"$48,432.00 ",322,3
492,1973,PhD,YOLO,"$48,432.00 ",322,3
11133,1973,PhD,YOLO,"$48,432.00 ",322,3
4491,1949,Master,Married,"$62,845.00 ",1099,0
873,1949,Master,Married,"$62,845.00 ",1099,0
1631,1965,PhD,Together,"$65,220.00 ",890,63
8278,1990,PhD,Married,"$74,214.00 ",863,83
6815,1980,2n Cycle,Married,"$96,547.00 ",448,21
254,1955,Graduation,Together,"$53,863.00 ",399,4
1349,1970,Graduation,Married,"$50,447.00 ",85,7
2534,1953,Graduation,Married,"$37,716.00 ",97,1
2130,1982,Graduation,Together,"$45,203.00 ",35,3
2296,1975,Master,Married,"$37,368.00 ",3,2
3799,1955,Graduation,Married,"$67,225.00 ",315,35
11084,1976,Master,Together,"$65,104.00 ",738,0
5172,1976,Master,Together,"$65,104.00 ",738,0
9504,1949,Master,Married,"$81,698.00 ",179,28
850,1968,Graduation,Single,"$70,566.00 ",381,28
4477,1958,Graduation,Together,"$69,096.00 ",247,49
1945,1962,Graduation,Married,"$71,434.00 ",711,36
7685,1978,Graduation,Married,"$33,039.00 ",30,8
6310,1978,Graduation,Married,"$33,039.00 ",30,8
10832,1958,Graduation,Together,"$46,610.00 ",288,10
3025,1958,Graduation,Single,"$49,967.00 ",212,6
2404,1976,Graduation,Married,"$53,359.00 ",173,4
8581,1971,Master,Married,"$49,505.00 ",604,0
8755,1946,Master,Married,"$68,657.00 ",482,34
10177,1954,Graduation,Divorced,"$72,071.00 ",531,69
2429,1954,Graduation,Divorced,"$72,071.00 ",531,69
8920,1967,Master,Single,"$59,235.00 ",448,40
8430,1957,Graduation,Together,"$21,994.00 ",9,0
8619,1957,Graduation,Together,"$21,994.00 ",9,0
8996,1957,PhD,Married,,230,42
7233,1972,Graduation,Married,"$69,209.00 ",496,32
6678,1989,Graduation,Together,"$31,928.00 ",33,4
830,1987,PhD,Single,"$74,004.00 ",784,48
6365,1987,2n Cycle,Married,"$30,390.00 ",10,12
6770,1985,Graduation,Married,"$21,355.00 ",5,13
2261,1969,Graduation,Married,"$26,304.00 ",4,1
1031,1989,2n Cycle,Married,"$85,710.00 ",600,20
10089,1974,Graduation,Divorced,"$102,692.00 ",168,148
9256,1971,Graduation,Single,"$58,350.00 ",493,26
10641,1978,Graduation,Single,"$7,500.00 ",6,5
624,1984,Master,Single,"$18,890.00 ",6,4
4211,1986,Basic,Married,"$20,425.00 ",4,12
1407,1986,Basic,Married,"$20,425.00 ",4,12
10356,1957,PhD,Divorced,"$41,437.00 ",29,0
9323,1949,Master,Together,"$49,912.00 ",520,8
1146,1949,Master,Together,"$49,912.00 ",520,8
6343,1959,Graduation,Married,"$79,823.00 ",835,73
8545,1954,Graduation,Divorced,"$85,683.00 ",1296,17
8275,1965,PhD,Divorced,"$47,025.00 ",16,0
10673,1976,PhD,Married,"$68,397.00 ",760,80
8799,1984,PhD,Married,"$38,175.00 ",70,6
67,1972,Master,Single,"$46,423.00 ",68,0
9923,1972,Master,Single,"$46,423.00 ",68,0
2814,1976,Master,Together,"$30,560.00 ",9,1
2711,1976,Master,Together,"$30,560.00 ",9,1
4320,1979,Graduation,Single,"$60,152.00 ",325,83
10451,1965,Graduation,Together,"$29,672.00 ",9,1
4198,1965,Graduation,Together,"$29,672.00 ",9,1
10814,1947,Graduation,Together,"$70,321.00 ",303,23
944,1962,Graduation,Married,"$56,181.00 ",121,103
8151,1990,Basic,Married,"$24,279.00 ",16,36
6184,1969,PhD,Married,"$68,462.00 ",561,64
3498,1976,PhD,Married,"$55,424.00 ",462,61
2870,1973,Graduation,Married,"$49,094.00 ",376,0
7342,1961,2n Cycle,Widow,"$59,184.00 ",341,142
1911,1987,Graduation,Together,"$67,430.00 ",595,97
10862,1960,Master,Married,"$30,522.00 ",179,8
2546,1977,2n Cycle,Single,"$31,878.00 ",23,4
3005,1992,Graduation,Single,"$83,528.00 ",530,117
8318,1979,Graduation,Together,"$90,300.00 ",594,134
2930,1978,Master,Single,"$68,092.00 ",852,60
8216,1972,Master,Married,"$53,761.00 ",158,0
1212,1973,Graduation,Married,"$52,845.00 ",384,25
2541,1976,Graduation,Married,"$24,027.00 ",14,7
10659,1979,2n Cycle,Together,"$7,500.00 ",2,8
10905,1955,Graduation,Together,"$42,586.00 ",194,2
8910,1955,Graduation,Together,"$42,586.00 ",194,2
7349,1973,Basic,Together,"$9,722.00 ",6,17
7872,1975,PhD,Married,"$86,836.00 ",179,21
4290,1972,Graduation,Married,"$30,467.00 ",1,3
7408,1952,PhD,Married,"$54,549.00 ",216,2
9986,1982,Graduation,Together,"$19,444.00 ",16,0
8235,1956,Master,Together,"$69,245.00 ",428,30
10949,1963,PhD,Divorced,"$72,968.00 ",1092,37
7284,1953,Graduation,Married,"$48,686.00 ",10,0
9529,1990,Graduation,Married,"$73,687.00 ",559,153
9930,1944,PhD,Single,"$82,716.00 ",606,148
10270,1981,2n Cycle,Married,"$35,523.00 ",11,5
760,1975,PhD,Divorced,"$60,554.00 ",588,7
5519,1956,Graduation,Together,"$64,090.00 ",316,58
232,1965,Graduation,Single,"$61,559.00 ",279,83
3009,1962,PhD,Widow,"$71,670.00 ",1462,16
6518,1951,PhD,Widow,"$67,680.00 ",546,0
10669,1981,Graduation,Married,"$54,386.00 ",277,21
5682,1953,PhD,Single,"$64,108.00 ",948,10
1570,1951,PhD,Together,"$69,702.00 ",664,9
1497,1952,Graduation,Single,"$47,958.00 ",268,11
9723,1960,Graduation,Married,"$67,716.00 ",530,142
7261,1971,Graduation,Together,"$34,600.00 ",199,33
2452,1971,Graduation,Together,"$34,600.00 ",199,33
5621,1969,Graduation,Married,"$48,752.00 ",73,57
10995,1988,2n Cycle,Married,"$15,716.00 ",16,5
7373,1952,PhD,Divorced,"$46,610.00 ",96,12
5331,1977,Graduation,Married,"$74,985.00 ",587,51
263,1945,PhD,Single,"$45,576.00 ",56,19
4619,1945,PhD,Single,"$113,734.00 ",6,2
940,1987,Graduation,Single,"$57,100.00 ",158,11
10084,1972,Graduation,Married,"$24,434.00 ",3,2
6019,1971,PhD,Married,"$37,126.00 ",45,3
1463,1958,Graduation,Single,"$45,160.00 ",8,2
6424,1977,Graduation,Together,"$33,178.00 ",12,6
8233,1950,Master,Widow,"$64,866.00 ",508,5
1515,1975,Master,Together,"$34,176.00 ",11,2
10855,1968,Master,Single,"$50,014.00 ",234,14
10909,1948,Graduation,Married,"$92,344.00 ",992,24
3376,1970,Master,Divorced,"$55,282.00 ",125,6
10232,1963,PhD,Divorced,"$48,799.00 ",174,18
5547,1982,PhD,Married,"$84,169.00 ",1478,19
8362,1982,PhD,Married,"$84,169.00 ",1478,19
3524,1971,Master,Single,"$39,763.00 ",80,1
10095,1975,PhD,Divorced,"$74,165.00 ",1001,12
8897,1965,Graduation,Single,"$42,720.00 ",392,5
466,1944,Graduation,Married,"$65,275.00 ",388,14
11025,1961,Graduation,Married,"$36,443.00 ",65,0
2387,1952,Master,Together,"$43,776.00 ",177,2
1618,1965,Graduation,Together,"$56,046.00 ",577,0
25,1958,Graduation,Married,"$65,148.00 ",460,35
3277,1955,Graduation,Divorced,"$49,431.00 ",219,3
8566,1961,PhD,Together,"$32,583.00 ",5,0
2634,1979,Master,Single,"$16,653.00 ",5,7
8036,1971,2n Cycle,Together,"$26,850.00 ",31,1
8159,1968,Graduation,Married,"$51,287.00 ",117,0
7628,1973,2n Cycle,Married,"$43,050.00 ",30,5
9597,1969,Graduation,Married,"$73,448.00 ",236,106
1384,1992,Basic,Married,"$17,256.00 ",6,4
10150,1961,Graduation,Single,"$86,429.00 ",464,28
3885,1983,PhD,Married,"$33,569.00 ",16,2
11003,1980,2n Cycle,Together,"$25,130.00 ",2,5
8026,1952,Graduation,Married,"$62,998.00 ",120,58
577,1976,2n Cycle,Together,"$26,907.00 ",9,1
8702,1976,2n Cycle,Together,"$26,907.00 ",9,1
5429,1948,PhD,Married,"$45,579.00 ",145,1
977,1957,Graduation,Together,"$47,320.00 ",200,19
2793,1976,PhD,Divorced,"$70,179.00 ",532,88
1071,1976,PhD,Divorced,"$70,179.00 ",532,88
5074,1986,Master,Married,"$28,072.00 ",30,0
2632,1954,Graduation,Married,"$50,501.00 ",297,0
6404,1969,Graduation,Together,"$58,917.00 ",151,7
10240,1949,Graduation,Together,"$69,372.00 ",997,26
2521,1971,Master,Married,"$35,178.00 ",23,1
4301,1971,Master,Married,"$35,178.00 ",23,1
7381,1968,Graduation,Divorced,"$75,693.00 ",797,153
2407,1982,Graduation,Married,"$69,109.00 ",823,25
9064,1982,Graduation,Married,"$69,109.00 ",823,25
5067,1994,Graduation,Together,"$80,134.00 ",966,26
10281,1970,Graduation,Divorced,"$64,713.00 ",180,60
11191,1986,Graduation,Divorced,"$41,411.00 ",37,32
1994,1983,Graduation,Married,,5,5
2552,1955,PhD,Single,"$55,521.00 ",416,0
6720,1968,Master,Together,"$43,795.00 ",314,11
4557,1970,Graduation,Together,"$22,070.00 ",10,7
1183,1949,Master,Married,"$36,408.00 ",9,1
4186,1950,Graduation,Together,"$34,026.00 ",18,6
1419,1950,Graduation,Together,"$34,026.00 ",18,6
967,1976,Graduation,Married,"$46,049.00 ",342,9
1048,1972,Master,Married,"$35,641.00 ",63,3
9262,1984,2n Cycle,Together,"$32,414.00 ",20,6
3427,1955,PhD,Married,"$59,821.00 ",629,0
5892,1980,Graduation,Married,"$34,968.00 ",158,6
8911,1967,PhD,Married,"$56,320.00 ",201,53
6606,1969,Master,Married,"$70,091.00 ",964,34
2677,1956,Graduation,Together,"$46,097.00 ",72,24
252,1963,PhD,Divorced,"$41,003.00 ",123,133
9860,1959,Graduation,Together,"$44,911.00 ",159,0
1388,1975,Graduation,Single,"$33,249.00 ",6,10
979,1975,Graduation,Single,"$33,249.00 ",6,10
7494,1950,PhD,Divorced,"$42,873.00 ",209,0
10490,1969,PhD,Married,"$51,039.00 ",100,64
3403,1958,PhD,Together,"$78,952.00 ",1170,19
2715,1966,Master,Divorced,"$29,435.00 ",70,3
4828,1954,Graduation,Divorced,"$79,865.00 ",71,99
92,1988,Graduation,Alone,"$34,176.00 ",5,7
3312,1988,Graduation,Single,"$34,176.00 ",5,7
11176,1970,PhD,Together,"$65,968.00 ",376,9
1446,1956,Master,Single,"$86,424.00 ",387,68
9699,1966,Graduation,Divorced,"$67,272.00 ",357,35
9790,1957,Graduation,Single,"$78,499.00 ",912,72
2324,1972,Graduation,Together,"$77,044.00 ",625,38
5080,1993,Graduation,Single,"$70,515.00 ",420,0
4992,1975,Master,Together,"$17,459.00 ",6,4
7849,1970,PhD,Married,"$80,336.00 ",209,19
4808,1956,Graduation,Married,"$15,759.00 ",1,2
10401,1976,2n Cycle,Together,"$26,326.00 ",1,0
7793,1976,Graduation,Together,"$62,061.00 ",641,7
9303,1976,Graduation,Married,"$5,305.00 ",12,4
6853,1982,Master,Single,"$75,777.00 ",712,26
7366,1982,Master,Single,"$75,777.00 ",712,26
9780,1971,Master,Together,"$71,499.00 ",465,25
7573,1978,PhD,Single,"$31,626.00 ",39,1
1379,1992,Master,Together,"$42,670.00 ",154,2
8923,1973,Graduation,Single,"$83,917.00 ",514,22
3547,1969,Master,Together,"$41,021.00 ",14,7
8707,1956,Graduation,Married,"$79,456.00 ",565,42
1891,1980,Master,Divorced,"$78,789.00 ",667,50
6271,1952,PhD,Married,"$50,870.00 ",53,0
9635,1983,Master,Married,"$35,876.00 ",66,2
9727,1957,Graduation,Married,"$23,539.00 ",4,24
6205,1967,Master,Single,"$32,557.00 ",34,3
10681,1970,2n Cycle,Married,"$62,466.00 ",129,129
5156,1970,2n Cycle,Married,"$62,466.00 ",129,129
3050,1966,Graduation,Married,"$54,198.00 ",185,0
8164,1978,PhD,Married,"$82,170.00 ",1023,93
5626,1964,PhD,Single,"$61,798.00 ",338,4
7600,1992,Basic,Single,"$15,253.00 ",1,3
6406,1988,Master,Married,"$78,285.00 ",647,107
7002,1955,Graduation,Single,"$62,535.00 ",163,48
8234,1973,Basic,Together,"$27,190.00 ",1,6
6116,1968,2n Cycle,Married,"$48,985.00 ",19,13
291,1970,Graduation,Married,"$72,940.00 ",182,74
8779,1985,2n Cycle,Married,"$36,145.00 ",56,4
4931,1977,Graduation,Together,"$157,146.00 ",1,0
1650,1960,Master,Married,"$81,843.00 ",779,86
9701,1988,Graduation,Together,"$41,883.00 ",32,34
6431,1964,PhD,Married,"$45,759.00 ",42,1
10789,1964,PhD,Married,"$45,759.00 ",42,1
5302,1986,Graduation,Together,"$78,394.00 ",298,27
4459,1989,Graduation,Single,"$30,279.00 ",10,4
10642,1989,Graduation,Single,"$30,279.00 ",10,4
9213,1970,Graduation,Widow,"$31,880.00 ",4,1
3678,1973,Graduation,Widow,"$60,208.00 ",488,23
3698,1983,Graduation,Together,"$78,687.00 ",817,185
5929,1973,PhD,Married,"$37,401.00 ",19,3
10795,1973,PhD,Married,"$37,401.00 ",19,3
4390,1954,Graduation,Together,"$75,315.00 ",459,15
9362,1965,Graduation,Single,"$69,263.00 ",492,5
1577,1946,Graduation,Married,"$78,569.00 ",558,79
4609,1966,PhD,Married,"$57,705.00 ",383,0
7143,1955,2n Cycle,Together,"$74,805.00 ",209,162
1729,1961,PhD,Together,"$66,426.00 ",1043,24
10664,1949,Master,Widow,"$51,529.00 ",400,4
5029,1946,Graduation,Married,"$18,100.00 ",3,1
10507,1977,2n Cycle,Divorced,"$59,601.00 ",691,7
3865,1977,2n Cycle,Together,"$20,981.00 ",2,12
6982,1976,Graduation,Married,"$74,068.00 ",783,30
7042,1983,Graduation,Married,"$36,790.00 ",3,3
9668,1971,Graduation,Married,"$18,793.00 ",4,16
6878,1954,Graduation,Widow,"$27,421.00 ",43,12
4099,1972,Graduation,Married,"$30,675.00 ",10,2
5031,1974,Graduation,Together,"$83,145.00 ",777,35
1970,1968,Master,Together,"$34,053.00 ",63,0
5726,1983,Master,Single,"$31,788.00 ",16,7
5231,1974,2n Cycle,Married,"$45,894.00 ",27,2
1307,1978,Graduation,Divorced,"$41,986.00 ",27,5
10609,1962,PhD,Married,"$42,769.00 ",71,0
5782,1982,2n Cycle,Together,"$58,582.00 ",402,35
7533,1964,Graduation,Married,"$49,096.00 ",144,1
9493,1980,PhD,Single,"$76,412.00 ",840,53
2253,1990,Graduation,Married,"$18,929.00 ",32,0
2326,1990,Graduation,Married,"$18,929.00 ",32,0
1876,1990,Graduation,Married,"$18,929.00 ",32,0
7141,1986,Master,Single,"$21,888.00 ",88,10
7393,1978,Graduation,Together,"$41,580.00 ",56,5
4713,1979,PhD,Married,"$31,605.00 ",74,0
5093,1974,PhD,Divorced,"$25,509.00 ",40,3
8524,1974,PhD,Divorced,"$25,509.00 ",40,3
3766,1959,Master,Widow,"$33,051.00 ",100,71
9725,1966,PhD,Together,"$28,764.00 ",8,0
8933,1983,2n Cycle,Married,"$32,146.00 ",26,3
10779,1983,Graduation,Single,"$22,148.00 ",15,5
9289,1979,Graduation,Married,"$36,781.00 ",29,1
2613,1960,Master,Married,"$54,197.00 ",162,6
10133,1970,Graduation,Single,"$93,790.00 ",1302,68
8443,1972,Graduation,Single,"$24,762.00 ",6,10
10796,1984,Master,Married,"$30,477.00 ",47,1
10241,1975,2n Cycle,Divorced,"$11,448.00 ",0,0
3388,1967,Graduation,Divorced,"$70,844.00 ",129,26
6507,1980,Graduation,Single,"$30,828.00 ",16,11
7446,1967,Master,Together,"$62,513.00 ",520,42
87,1981,2n Cycle,Married,"$27,733.00 ",0,7
10477,1973,PhD,Together,"$39,435.00 ",71,0
6072,1970,Master,Single,"$75,345.00 ",918,57
2518,1986,2n Cycle,Together,"$20,491.00 ",5,4
247,1971,Graduation,Married,"$36,715.00 ",172,10
9463,1959,Graduation,Together,"$71,706.00 ",931,56
1459,1966,PhD,Married,"$69,063.00 ",666,35
9530,1988,Graduation,Married,"$24,645.00 ",5,3
9653,1975,Graduation,Married,"$35,797.00 ",27,1
10785,1969,Graduation,Married,"$44,078.00 ",24,1
9392,1971,Graduation,Single,"$26,954.00 ",4,1
3769,1972,PhD,Together,,25,1
10146,1972,PhD,Together,"$38,887.00 ",25,1
4741,1974,2n Cycle,Married,"$65,463.00 ",391,32
1880,1959,PhD,Together,"$53,537.00 ",81,0
6471,1971,Master,Single,"$36,230.00 ",14,2
5718,1950,Graduation,Married,"$80,763.00 ",674,168
3478,1971,PhD,Married,"$60,585.00 ",267,42
7848,1974,Graduation,Single,"$49,166.00 ",224,2
7999,1955,PhD,Together,"$75,261.00 ",1239,17
11101,1991,Graduation,Together,"$89,891.00 ",412,22
9212,1962,Master,Married,"$72,828.00 ",1205,0
10983,1952,Graduation,Together,"$75,278.00 ",304,98
3629,1978,Graduation,Single,"$38,557.00 ",76,3
4673,1963,PhD,Married,"$81,300.00 ",1004,12
796,1965,2n Cycle,Divorced,"$60,161.00 ",584,44
618,1977,PhD,Married,"$69,389.00 ",422,7
380,1954,Graduation,Divorced,"$64,497.00 ",1170,48
1092,1980,Graduation,Married,"$61,014.00 ",269,129
8962,1975,Master,Married,"$44,319.00 ",26,0
8207,1957,2n Cycle,Married,"$53,233.00 ",28,0
6521,1954,Graduation,Together,"$77,972.00 ",613,22
535,1987,Graduation,Divorced,"$81,361.00 ",163,23
4608,1987,Graduation,Divorced,"$81,361.00 ",163,23
11086,1984,Basic,Single,"$25,707.00 ",1,6
1064,1971,PhD,Married,"$42,403.00 ",22,1
7000,1972,2n Cycle,Single,"$65,704.00 ",279,172
1581,1980,Graduation,Married,"$37,406.00 ",2,0
7384,1951,Master,Together,"$39,767.00 ",113,61
10552,1979,2n Cycle,Married,"$54,210.00 ",70,54
6409,1967,Graduation,Divorced,"$57,136.00 ",267,140
9507,1975,Graduation,Married,"$40,794.00 ",261,23
9560,1965,Graduation,Together,"$83,003.00 ",856,61
10991,1960,Master,Married,"$89,058.00 ",454,194
4712,1991,2n Cycle,Together,"$20,193.00 ",8,8
11056,1974,Graduation,Married,"$72,099.00 ",546,91
7414,1971,Graduation,Married,"$43,824.00 ",96,1
3076,1975,Graduation,Together,"$66,653.00 ",452,18
6355,1978,Graduation,Married,"$44,359.00 ",20,0
7959,1961,Graduation,Married,"$79,410.00 ",658,80
5512,1977,Master,Married,"$55,842.00 ",451,0
10102,1966,Graduation,Widow,"$79,946.00 ",395,183
9369,1979,2n Cycle,Single,"$88,194.00 ",688,14
3711,1944,Master,Married,"$80,184.00 ",1035,134
6931,1967,Graduation,Divorced,"$76,982.00 ",464,151
9596,1980,PhD,Single,"$65,295.00 ",365,32
2727,1973,Graduation,Together,"$57,100.00 ",181,21
8416,1981,Graduation,Married,"$29,009.00 ",6,6
3967,1971,PhD,Married,"$78,931.00 ",331,197
2139,1975,Master,Married,"$7,500.00 ",3,1
2162,1976,Graduation,Married,"$56,939.00 ",256,34
9242,1990,Graduation,Single,"$64,509.00 ",836,185
10595,1990,Graduation,Married,"$30,093.00 ",2,6
4855,1974,PhD,Together,"$30,351.00 ",14,0
5049,1974,PhD,Together,"$30,351.00 ",14,0
4967,1960,PhD,Together,"$38,201.00 ",233,0
5255,1986,Graduation,Single,,5,1
9215,1980,PhD,Married,"$43,974.00 ",378,0
3525,1970,Graduation,Together,"$38,200.00 ",12,0
3619,1960,2n Cycle,Divorced,"$87,305.00 ",345,25
4415,1961,Graduation,Married,"$16,860.00 ",10,4
3645,1972,PhD,Single,"$27,213.00 ",19,3
4692,1976,Graduation,Married,"$7,500.00 ",7,0
3955,1965,Graduation,Divorced,"$4,861.00 ",2,1
5313,1971,Master,Married,"$38,196.00 ",30,0
7196,1950,PhD,Married,"$41,145.00 ",9,0
1381,1982,PhD,Single,"$38,513.00 ",172,3
10951,1968,Graduation,Married,"$45,688.00 ",279,0
4322,1958,PhD,Together,"$77,863.00 ",881,38
7444,1969,Master,Married,"$42,169.00 ",19,0
2942,1964,Graduation,Single,"$45,906.00 ",305,3
2874,1988,2n Cycle,Divorced,"$35,388.00 ",6,4
3667,1969,Graduation,Married,"$80,952.00 ",778,178
3697,1954,Graduation,Together,"$39,898.00 ",69,8
9955,1954,Graduation,Together,"$39,898.00 ",69,8
5320,1973,Master,Divorced,"$44,051.00 ",79,7
6422,1954,Graduation,Married,"$86,718.00 ",344,189
3690,1986,Master,Married,"$80,141.00 ",1184,102
2408,1976,Graduation,Married,"$58,597.00 ",490,0
9260,1945,PhD,Married,"$70,356.00 ",1349,16
9648,1967,Graduation,Single,"$46,904.00 ",153,4
4939,1946,Graduation,Together,"$37,760.00 ",84,5
8652,1946,Graduation,Together,"$37,760.00 ",84,5
4702,1964,Graduation,Single,"$61,839.00 ",1000,155
2587,1972,PhD,Married,"$29,791.00 ",14,0
2811,1963,PhD,Single,"$48,918.00 ",52,0
9150,1963,PhD,Single,"$48,918.00 ",52,0
10127,1965,Graduation,Married,"$58,692.00 ",301,11
5493,1976,Graduation,Married,"$39,356.00 ",15,0
2666,1972,Master,Married,"$76,234.00 ",519,50
10099,1984,Graduation,Married,"$55,434.00 ",238,115
10562,1946,Master,Married,"$66,835.00 ",620,26
7881,1946,Master,Married,"$66,835.00 ",620,26
6721,1951,Graduation,Married,"$71,965.00 ",572,19
5204,1971,Graduation,Together,"$74,538.00 ",380,98
5209,1954,Graduation,Divorced,"$50,002.00 ",443,5
10128,1958,Graduation,Together,"$53,977.00 ",620,16
9284,1958,Graduation,Together,"$53,977.00 ",620,16
8643,1971,Graduation,Together,"$69,930.00 ",252,98
1685,1967,PhD,Together,"$62,981.00 ",796,14
2877,1974,Master,Together,"$46,014.00 ",410,0
8369,1987,Graduation,Together,"$18,227.00 ",1,2
6233,1976,Graduation,Married,"$65,991.00 ",507,19
195,1972,Graduation,Single,"$38,808.00 ",125,17
1501,1982,PhD,Married,"$160,803.00 ",55,16
10846,1978,Master,Married,"$43,783.00 ",327,9
8341,1969,PhD,Married,"$30,396.00 ",15,0
10766,1964,PhD,Married,"$65,526.00 ",397,19
